Estado Matrícula,Nº Id. Escolar,Primer apellido,Segundo apellido,Nombre,Unidad,Curso
,AA00101,Gil,Cabrera,Carla,1ºESO A,1º ESO
,AA00102,Rico,Fuentes,Zoe,1ºESO A,1º ESO
,AA00103,García,Lorente,Hugo,1ºESO A,1º ESO
,AA00104,Gálvez,Vilches,Cristina,1ºESO A,1º ESO
,AA00105,Gómez,Ojeda,Hugo,1ºESO A,1º ESO
,AA00106,Rueda,Contreras,Álvaro,1ºESO A,1º ESO
,AA00107,Rosa,Peña,Guillermo,1ºESO A,1º ESO
,AA00108,Crespo,Gallardo,Valeria,1ºESO A,1º ESO
,AA00109,Rueda,Rivera,Mateo,1ºESO A,1º ESO
,AA00110,Segura,Cantero,Rocío,1ºESO A,1º ESO
,AA00111,Hurtado,Mora,Emma,1ºESO A,1º ESO
,AA00112,Macías,Morales,Patricia,1ºESO A,1º ESO
,AA00113,Solís,Soto,Fernando,1ºESO A,1º ESO
,AA00114,Sáez,Gallego,Pablo,1ºESO A,1º ESO
,AA00115,Pérez,Blanco,Sofía,1ºESO A,1º ESO
,AA00116,Delgado,Jiménez,Valentina,1ºESO A,1º ESO
,AA00117,Andrade,Requena,Candela,1ºESO A,1º ESO
,AA00118,Moya,Díaz,Celia,1ºESO A,1º ESO
,AA00119,Moreno,Ortiz,Fátima,1ºESO A,1º ESO
,AA00120,Bravo,Sánchez,Zoe,1ºESO A,1º ESO
,AA00121,Gálvez,Calvo,Samuel,1ºESO A,1º ESO
,AA00122,Mena,Mora,María,1ºESO A,1º ESO
,AA00123,Roca,Núñez,Beatriz,1ºESO A,1º ESO
,AA00124,Cuenca,Lozano,Pedro,1ºESO A,1º ESO
,AA00125,Ramírez,Cruz,Iris,1ºESO A,1º ESO
,AA00126,Pardo,Bravo,Eva,1ºESO A,1º ESO
,AA00127,Pérez,Gutiérrez,Marta,1ºESO A,1º ESO
,AA00128,Serrano,Carmona,Luna,1ºESO A,1º ESO
,AA00201,Mejías,Valle,Víctor,2ºESO A,2º ESO
,AA00202,Escobar,Parra,Inés,2ºESO A,2º ESO
,AA00203,Peralta,Torres,Inés,2ºESO A,2º ESO
,AA00204,Medina,Rico,Paola,2ºESO A,2º ESO
